iter	Passed	Remaining
336	561	1104
337	562	1102
338	564	1099
339	565	1097
340	566	1095
341	568	1093
342	569	1090
343	570	1088
344	572	1086
345	574	1086
346	577	1086
347	579	1085
348	580	1082
349	581	1080
350	582	1077
351	584	1075
352	585	1073
353	587	1071
354	590	1073
355	592	1070
356	593	1068
357	594	1066
358	596	1064
359	597	1061
360	598	1059
361	599	1057
362	601	1055
363	602	1052
364	607	1056
365	608	1054
366	609	1051
367	611	1049
368	612	1047
369	613	1045
370	615	1043
371	616	1040
372	618	1038
373	620	1039
374	624	1040
375	625	1038
376	627	1036
377	628	1033
378	629	1031
379	630	1029
380	632	1027
381	635	1027
382	636	1026
383	638	1024
384	639	1022
385	641	1020
386	643	1018
387	644	1016
388	645	1014
389	646	1011
390	648	1010
391	651	1010
392	653	1008
393	654	1006
394	655	1004
395	656	1001
396	658	999
397	659	997
398	661	995
399	662	993
400	664	993
401	666	991
402	669	991
403	671	989
404	672	987
405	673	985
406	674	983
407	676	981
408	677	978
409	680	979
410	682	978
411	684	976
412	686	975
413	688	973
414	689	971
415	690	969
416	692	967
417	693	965
418	696	965
419	697	963
420	698	961
421	700	959
422	702	957
423	704	956
424	706	955
425	710	957
426	713	956
427	714	954
428	716	953
429	717	951
430	719	949
431	720	947
432	723	947
433	725	946
434	727	945
435	730	944
436	731	942
437	733	940
438	734	938
439	735	936
440	739	936
441	741	935
442	742	933
443	743	931
444	745	929
445	746	927
446	747	925
447	749	923
448	750	921
449	752	919
450	756	921
451	758	919
452	760	917
453	761	915
454	762	913
455	764	911
456	765	909
457	766	907
458	769	907
459	771	905
460	772	903
461	773	901
462	775	899
463	776	897
464	777	894
465	779	892
466	780	890
467	781	888
468	785	889
469	787	887
470	788	885
471	789	883
472	791	881
473	792	879
474	793	876
475	794	874
476	796	872
477	797	870
478	800	870
479	803	870
480	804	868
481	805	866
482	807	864
483	808	862
484	810	860
485	811	858
486	812	856
487	816	856
488	817	854
489	819	852
490	820	850
491	821	848
492	823	846
493	824	844
494	826	842
495	827	840
496	831	841
497	833	839
498	834	837
499	836	836
500	837	834
501	839	832
502	840	830
503	841	828
504	842	826
505	846	826
506	848	824
507	849	822
508	850	820
509	852	818
510	853	816
511	854	814
512	856	812
513	859	812
514	862	812
515	863	810
516	865	808
517	866	806
518	867	804
519	869	802
520	870	800
521	871	798
522	874	797
523	876	796
524	877	794
525	878	792
526	880	790
527	881	788
528	882	786
529	884	784
530	885	782
531	889	782
532	891	781
533	893	779
534	894	777
535	896	775
536	897	773
537	898	771
538	900	769
539	901	768
540	905	768
541	907	766
542	909	765
543	911	764
544	914	763
545	916	761
546	926	767
547	928	766
548	930	764
549	932	762
550	935	762
551	940	763
552	941	761
553	943	759
554	944	757
555	945	755
556	947	753
557	949	752
558	953	751
559	954	749
560	955	748
561	957	746
562	958	743
563	959	742
564	961	739
565	962	737
566	965	737
567	967	735
568	968	733
569	970	731
570	971	730
571	973	728
572	974	726
573	976	724
574	977	722
575	981	722
576	984	721
577	986	719
578	987	718
579	988	715
580	990	714
581	991	712
582	992	710
583	994	708
584	997	707
585	998	705
586	999	703
587	1001	701
588	1002	699
589	1003	697
590	1005	695
591	1006	693
592	1007	691
593	1011	691
594	1012	689
595	1014	687
596	1015	685
597	1016	683
598	1018	681
599	1019	679
600	1020	677
601	1022	675
602	1023	673
603	1026	673
604	1029	672
605	1031	670
606	1032	668
607	1034	666
608	1035	664
609	1037	663
610	1040	662
611	1042	660
612	1043	658
613	1044	656
614	1046	654
615	1047	653
616	1049	651
617	1050	649
618	1051	647
619	1055	646
620	1057	645
621	1059	643
622	1060	642
623	1062	640
624	1063	638
625	1064	636
626	1066	634
627	1069	633
628	1072	632
629	1073	630
630	1075	628
631	1077	627
632	1078	625
633	1081	624
634	1082	622
635	1085	621
636	1086	619
637	1087	617
638	1089	615
639	1090	613
640	1091	611
641	1093	609
642	1094	607
643	1095	605
644	1097	603
645	1100	603
646	1101	601
647	1103	599
648	1104	597
649	1105	595
650	1107	593
651	1108	591
652	1110	589
653	1111	588
654	1114	587
655	1117	585
656	1118	584
657	1120	582
658	1121	580
659	1122	578
660	1124	576
661	1125	574
662	1126	572
663	1130	572
664	1132	570
665	1133	568
666	1135	567
667	1137	565
668	1138	563
669	1139	561
670	1141	559
671	1142	557
672	1145	556
673	1146	554
674	1147	552
675	1149	550
676	1150	548
677	1151	547
678	1153	545
679	1154	543
680	1155	541
681	1157	539
682	1159	538
683	1162	537
684	1164	535
685	1165	533
686	1167	531
687	1168	529
688	1169	528
689	1171	526
690	1174	525
691	1175	523
692	1177	521
693	1178	519
694	1179	517
695	1181	515
696	1182	514
697	1183	512
698	1185	510
699	1186	508
700	1190	507
701	1191	505
702	1193	504
703	1194	502
704	1195	500
705	1197	498
706	1198	496
707	1199	494
708	1201	492
709	1202	491
710	1204	489
711	1208	489
712	1210	487
713	1212	485
714	1213	483
715	1214	481
716	1216	480
717	1217	478
718	1219	476
719	1220	474
720	1222	473
721	1224	471
722	1225	469
723	1227	467
724	1228	465
725	1229	464
726	1231	462
727	1234	461
728	1235	459
729	1236	457
730	1238	455
731	1239	453
732	1240	452
733	1242	450
734	1243	448
735	1244	446
736	1246	444
737	1248	443
738	1251	442
739	1253	440
740	1254	438
741	1256	436
742	1257	434
743	1258	433
744	1260	431
745	1262	429
746	1264	428
747	1265	426
748	1266	424
749	1268	422
750	1269	421
751	1271	419
752	1272	417
753	1274	415
754	1275	413
755	1278	412
756	1280	410
757	1281	409
758	1282	407
759	1284	405
760	1285	403
761	1286	401
762	1288	400
763	1289	398
764	1290	396
765	1294	395
766	1296	393
767	1298	392
768	1299	390
769	1300	388
770	1301	386
771	1303	384
772	1304	383
773	1308	381
774	1310	380
775	1312	378
776	1313	376
777	1314	375
778	1315	373
779	1317	371
780	1318	369
781	1320	368
782	1323	366
783	1325	365
784	1327	363
785	1328	361
786	1330	360
787	1331	358
788	1333	356
789	1334	354
790	1337	353
791	1341	352
792	1342	350
793	1344	348
794	1346	347
795	1347	345
796	1349	343
797	1350	341
798	1353	340
799	1355	338
800	1356	337
801	1358	335
802	1359	333
803	1360	331
804	1361	329
805	1363	328
806	1364	326
807	1368	325
808	1369	323
809	1371	321
810	1372	319
811	1373	318
812	1375	316
813	1376	314
814	1378	312
815	1379	311
816	1383	309
817	1385	308
818	1387	306
819	1388	304
820	1390	303
821	1391	301
822	1392	299
823	1394	297
824	1396	296
825	1398	294
826	1399	292
827	1401	291
828	1402	289
829	1403	287
830	1405	285
831	1406	284
832	1408	282
833	1409	280
834	1412	279
835	1414	277
836	1416	275
837	1417	274
838	1419	272
839	1420	270
840	1421	268
841	1423	267
842	1424	265
843	1426	263
844	1429	262
845	1431	260
846	1432	258
847	1434	257
848	1435	255
849	1436	253
850	1438	251
851	1440	250
852	1445	249
853	1447	247
854	1449	245
855	1450	244
856	1452	242
857	1453	240
858	1454	238
859	1457	237
860	1459	235
861	1461	233
862	1462	232
863	1463	230
864	1465	228
865	1466	226
866	1467	225
867	1469	223
868	1470	221
869	1473	220
870	1476	218
871	1478	216
872	1479	215
873	1481	213
874	1482	211
875	1483	210
876	1484	208
877	1488	206
878	1489	205
879	1491	203
880	1492	201
881	1493	199
882	1495	198
883	1496	196
884	1497	194
885	1499	192
886	1500	191
887	1504	189
888	1507	188
889	1508	186
890	1510	184
891	1511	183
892	1512	181
893	1514	179
894	1515	177
895	1520	176
896	1522	174
897	1523	173
898	1525	171
899	1526	169
900	1528	167
901	1529	166
902	1530	164
903	1533	162
904	1535	161
905	1536	159
906	1537	157
907	1539	155
908	1540	154
909	1541	152
910	1543	150
911	1544	149
912	1545	147
913	1550	145
914	1552	144
915	1554	142
916	1555	140
917	1556	139
918	1558	137
919	1559	135
920	1560	133
921	1564	132
922	1566	130
923	1568	128
924	1569	127
925	1570	125
926	1572	123
927	1573	122
928	1574	120
929	1576	118
930	1578	117
931	1580	115
932	1582	113
933	1583	111
934	1584	110
935	1586	108
936	1587	106
937	1589	105
938	1590	103
939	1594	101
940	1596	100
941	1597	98
942	1598	96
943	1600	94
944	1601	93
945	1602	91
946	1604	89
947	1605	88
948	1612	86
949	1614	84
950	1617	83
951	1620	81
952	1622	80
953	1624	78
954	1626	76
955	1628	74
956	1630	73
957	1632	71
958	1634	69
959	1641	68
960	1643	66
961	1644	64
962	1646	63
963	1647	61
964	1649	59
965	1654	58
966	1656	56
967	1658	54
968	1659	53
969	1660	51
970	1662	49
971	1663	47
972	1664	46
973	1667	44
974	1669	42
975	1670	41
976	1672	39
977	1673	37
978	1674	35
979	1676	34
980	1677	32
981	1678	30
982	1680	29
983	1683	27
984	1685	25
985	1686	23
986	1687	22
987	1689	20
988	1690	18
989	1691	17
990	1693	15
991	1694	13
992	1698	11
993	1700	10
994	1702	8
995	1703	6
996	1705	5
997	1707	3
998	1708	1
999	1710	0
